--------------------------------------------------------
Ora verificarii: 2023-01-10T16:19:56.263966800
Locatia: 1 Sold Total: 0
Tip Tratamanet: 1 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 0 -> 120
Tip Tratamanet: 5 | Numar maxim admis: 2 |  Numar programari: 0 |  Calup orar: 480 -> 510
Locatia: 4 Sold Total: 50
Tip Tratamanet: 1 | Numar maxim admis: 9 |  Numar programari: 0 |  Calup orar: 0 -> 120
Tip Tratamanet: 1 | Numar maxim admis: 9 |  Numar programari: 0 |  Calup orar: 120 -> 240
Tip Tratamanet: 1 | Numar maxim admis: 9 |  Numar programari: 0 |  Calup orar: 240 -> 360
Tip Tratamanet: 1 | Numar maxim admis: 9 |  Numar programari: 1 |  Calup orar: 360 -> 480
Tip Tratamanet: 1 | Numar maxim admis: 9 |  Numar programari: 0 |  Calup orar: 480 -> 600
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 0 -> 20
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 20 -> 40
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 40 -> 60
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 60 -> 80
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 80 -> 100
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 100 -> 120
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 120 -> 140
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 140 -> 160
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 160 -> 180
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 180 -> 200
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 200 -> 220
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 220 -> 240
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 240 -> 260
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 260 -> 280
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 280 -> 300
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 300 -> 320
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 320 -> 340
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 340 -> 360
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 360 -> 380
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 380 -> 400
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 400 -> 420
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 420 -> 440
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 440 -> 460
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 460 -> 480
Tip Tratamanet: 2 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 480 -> 500
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 0 -> 30
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 30 -> 60
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 60 -> 90
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 90 -> 120
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 120 -> 150
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 150 -> 180
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 180 -> 210
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 210 -> 240
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 240 -> 270
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 270 -> 300
Tip Tratamanet: 3 | Numar maxim admis: 3 |  Numar programari: 0 |  Calup orar: 300 -> 330
